DOID,Gene
DOID:1612,25
DOID:418,25
DOID:5603,25
DOID:0080630,25
DOID:627,25
DOID:14330,25
DOID:4029,25
DOID:0050909,25
DOID:1909,25
DOID:219,25
DOID:4798,25
DOID:2226,25
DOID:299,25
DOID:2841,25
DOID:10283,25
DOID:0060578,25
DOID:4492,25
DOID:1883,25
DOID:10534,25
DOID:1596,25
DOID:225,25
DOID:1682,25
DOID:319,25
DOID:321,25
DOID:5520,25
DOID:1657,25
DOID:0111699,25
DOID:0110922,25
DOID:1324,25
DOID:10763,25
DOID:289,25
DOID:0050902,25
DOID:3044,26
DOID:0050589,26
DOID:162,26
DOID:10534,26
DOID:6364,26
DOID:9415,26
DOID:2841,26
DOID:4481,26
DOID:0080811,26
DOID:0060496,26
DOID:5082,26
DOID:9261,26
DOID:3275,27
DOID:8552,27
DOID:1612,27
DOID:2957,27
DOID:1909,27
DOID:162,27
DOID:10534,27
DOID:4450,27
DOID:3910,27
DOID:11054,27
DOID:2154,27
DOID:0050866,28
DOID:2671,28
DOID:1240,28
DOID:10591,28
DOID:1793,28
DOID:9352,28
DOID:3393,28
DOID:9256,28
DOID:12365,28
DOID:0060903,28
DOID:10763,28
DOID:1612,28
DOID:6713,28
DOID:5844,28
DOID:3498,28
DOID:10825,28
DOID:162,28
DOID:4989,28
DOID:11714,28
DOID:684,28
DOID:9477,28
DOID:10283,28
DOID:11054,28
DOID:1936,28
DOID:9119,28
DOID:3347,28
DOID:10534,28
DOID:0060250,28
DOID:8778,28
DOID:0050908,28
DOID:11394,28
DOID:0080600,28
DOID:1727,28
DOID:2841,30
DOID:10652,30
DOID:1612,30
DOID:14723,30
DOID:1612,31
DOID:0111099,31
DOID:162,31
DOID:0080827,31
DOID:10534,31
DOID:9352,31
DOID:3068,31
DOID:225,31
DOID:1324,31
DOID:3908,31
DOID:3905,31
DOID:9119,31
DOID:0080208,31
DOID:3910,31
DOID:9256,31
DOID:10283,31
DOID:684,31
DOID:9452,31
DOID:576,32
DOID:9352,32
DOID:557,32
DOID:9970,32
DOID:9351,32
DOID:162,32
DOID:3068,32
DOID:9256,32
DOID:162,33
DOID:3910,33
DOID:684,33
DOID:0080153,34
DOID:3146,34
DOID:684,34
DOID:3068,34
DOID:9007,35
DOID:423,35
DOID:11983,35
DOID:3312,35
DOID:3083,35
DOID:9256,35
DOID:9256,36
DOID:1324,36
DOID:3908,36
DOID:0080155,37
DOID:0050891,37
DOID:0050156,37
DOID:3744,37
DOID:13129,37
DOID:13133,37
DOID:3146,37
DOID:12930,37
DOID:0060358,37
DOID:162,37
DOID:10763,38
DOID:10283,38
DOID:162,38
DOID:9352,38
DOID:14723,38
DOID:219,38
DOID:1612,38
DOID:1184,38
DOID:4467,38
DOID:1115,38
DOID:9256,38
DOID:1324,38
DOID:8577,39
DOID:4467,39
DOID:14330,40
DOID:594,40
DOID:3312,40
DOID:11123,40
DOID:14188,40
DOID:3328,40
DOID:9256,40
DOID:2377,40
DOID:11476,40
DOID:2030,41
DOID:1440,41
DOID:6713,41
DOID:326,41
DOID:11123,41
DOID:594,41
DOID:684,41
DOID:14188,41
DOID:1612,41
DOID:3571,41
DOID:10534,41
DOID:5517,41
DOID:7148,41
DOID:1793,41
DOID:90,41
DOID:1205,41
DOID:8534,41
DOID:12306,43
DOID:14330,43
DOID:1324,43
DOID:2394,43
DOID:0080199,43
DOID:11949,43
DOID:219,43
DOID:10652,43
DOID:9952,43
