DOID,genes
DOID:0001816,6774,7157,5787,4609
DOID:0002116,7157,7422,7424,5175,4318,2247,3791,847,2006,4313,599,406906,100529063,2944,4968
DOID:0014667,3630,5213,5315,1738,5728,253943,3948,5313,3945,3312,5161,5214,54915,121268,8659,6009,3939,5781,5211,92483,5160,51441,160287,9414,570,6720,4683,154,2052,10165,3569,4314,4318,5054,5770,5837,617
DOID:0040007,3106
DOID:0040085,54210
DOID:0040086,3813
DOID:0040088,3576
DOID:0040089,4744
DOID:0040090,496
DOID:0040091,3119
DOID:0050012,3576,3119
DOID:0050073,5806,2833,7099,1557,4153
DOID:0050083,1557,1543,2876
DOID:0050117,4153,3053
DOID:0050120,3606,9332,5873,8518
DOID:0050127,7097,54106,7099,5329,6351,3553,117156,5328,629,5155,4318,3558,27159,2908,653509,6441,6374,727897,3596,4049,1080
DOID:0050144,1767,339829,8701,92749,9353,27019,164781,115948,2302,148345,55130,64446,352909,162,4153
DOID:0050152,1636,2920,7124,2919,2921,3552,1906
DOID:0050153,5806
DOID:0050155,90665,79718,6907
DOID:0050156,7056,335,4915,4314,6774,9173,8837,780,2033,5743,4312,2152,6374,142,4582,7035,3559,10919,23476,7124,2355,29072,729238,3123,727897,7015
DOID:0050157,7133,7132
DOID:0050158,6440
DOID:0050167,2688,2691,326
DOID:0050168,3123,3119,3117
DOID:0050169,3605,959,958,1232,11277
DOID:0050175,958,959
DOID:0050185,7422,959,958,925,3119
DOID:0050200,3559,50943
DOID:0050211,57379,5294
DOID:0050214,774,1128,773
DOID:0050328,10092,7173,50506,4741,1444,4747,7038,53905,2689,7201,2690,632,4744,7253,2539,860,2688,4804,3479,1443,10891,7849,1442,1958,3625,2304,10476,6528
DOID:0050331,2255,2263,2261
DOID:0050332,525
DOID:0050335,8787,388531
DOID:0050336,6569
DOID:0050338,6608,6469,3549,50846,50506,2737,2736,2735,53905
DOID:0050340,6595,6599,6601,4791,4790,5071,79647,6597,55122
DOID:0050387,201163
DOID:0050419,3426
DOID:0050424,3549,406947,5335,8313,324,4595
DOID:0050425,4891,1267,7018,63876,4213,114781,56917,4211,257468,1814,4212
DOID:0050426,7124,1191,64332,3119,3105,3106,2944
DOID:0050427,7014,2068,7508,2071,5429,7507,2072,1643
DOID:0050428,3868,79651,3848
DOID:0050429,27032,492,9914,491,493,490
DOID:0050430,5979
DOID:0050431,3570,6331,2697,3728,1823,1824,1825,27295,10848,79188,7043,6262,5318,1674,1832,1000,88,4000
DOID:0050432,27185,57502,8604,54413
DOID:0050433,4747,5621,406938
DOID:0050434,3759
DOID:0050436,4591
DOID:0050437,3920
DOID:0050438,7490
DOID:0050439,4647,10083,7401,7399,22901
DOID:0050440,10269,5468,857,4000
DOID:0050441,285362
DOID:0050444,5189
DOID:0050445,56975,5251
DOID:0050448,3851,3860
DOID:0050449,3868,3854,3853,3872
DOID:0050450,65266,27347,6559,1188
DOID:0050452,7124,1401,4598
DOID:0050453,5048,4842,4843,5129,7277,7846,65061,5128,7278,170302,1605,84790,113457,5218,4846,112714,10376,51807,84128,1641,10585,29954,55624
DOID:0050454,2316,4131,55780,375,10564,23327
DOID:0050456,6556
DOID:0050457,3191,11144,26471,8653,1654
DOID:0050458,9590,1437,2322,5777,5781,4763,3845,867,3718,23092
DOID:0050459,5741
DOID:0050460,137994,53834,3954,7468
DOID:0050461,175
DOID:0050462,2263
DOID:0050463,6662
DOID:0050464,427
DOID:0050465,2272,4436,4292
DOID:0050466,7046,7048,7042,4087
DOID:0050467,2707,127534,64065,2697
DOID:0050469,6237,22800,3265
DOID:0050470,3643
DOID:0050471,5573
DOID:0050472,3887,3892,3889
DOID:0050473,7840
DOID:0050474,2629,11005
DOID:0050475,7124,2200,170691,81794,4053
DOID:0050476,4232,2280,6901,642489
DOID:0050477,11060,23327,4734,6338,6337,6340
DOID:0050486,6364,1235
DOID:0050489,23405
DOID:0050523,4602,9332,29126,3586,50943,355,3569,968,3567,942,941,3195,6887,3718,4851
DOID:0050524,389692,7052,3630,3172,3174,3651,6927
DOID:0050526,3094,84681
DOID:0050528,136647
DOID:0050529,6606
DOID:0050530,6607,6606
DOID:0050534,60506,778,162514,4308,3000
DOID:0050535,23554,4041,79797,91355,8322,4693
DOID:0050539,9927,7879,2617,55669
DOID:0050540,5376,4359,1959,57716
DOID:0050543,127003
DOID:0050544,4143
DOID:0050545,8928,80173,91147,5991,92749,114876,55997,6901,339829,55130,352909,164781,57545,203286,5125,7547,93,27019,221322,148345,653275,220136,9377,8701,4552,54862,1767,5256,79363,339804,1954,23198,80114,9353,162,80184,118856,146845,25790,168507,55329,4838,2657
DOID:0050546,1583
DOID:0050547,5618,5979
DOID:0050548,11280,667,4914,10575,10558,65125,1786,547
DOID:0050553,5696
DOID:0050554,22
DOID:0050557,84823,1293,1778,4001,4000,1291
DOID:0050558,1293,1291,1303,1292
DOID:0050559,2218,1605
DOID:0050560,1282,10585,29954,11041,10329,55624,729920,79147,2218
DOID:0050561,8527
DOID:0050562,18,60558,1072,6812,4158
DOID:0050563,144245,23262,91355,84920,25821,4041,7399,57465
DOID:0050564,8295,79977,80000,1301,84173,4131,491
DOID:0050565,525,645104,79029,64072
DOID:0050566,5636,5635
DOID:0050567,4487,23384,7020,4627,125336,55902,8313,2952,5264,2944
DOID:0050568,6911,134701,10683
DOID:0050569,80152,80254,545,55835,10785,84126,55755
DOID:0050570,22845,79053,29880,5373,79644,4351,91869,79087,8813,56052,5372,29929,200810,644974,79796,54344
