X,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
55840,0.0759061408106785,6.03949894073236,0.367970882526872,0.714394298523721,0.776075625872435,-6.48882453950439,NOT
55841,0.356755446676842,6.9516082004272,1.75891924935109,0.0844969806194226,0.138832659335557,-5.05609477020446,NOT
55843,0.301677224667028,6.48760878574357,0.721665856968858,0.473744898547857,0.563963723862144,-6.29752734538968,NOT
55844,-0.884015245763695,6.73399687192235,-5.04063955767297,6.01868078326524e-06,0.00012881090301204,3.72523028811308,NOT
55845,0.289843588941743,10.4347740091387,3.51814366751885,0.000914068154679374,0.00396373155796123,-1.02445018145301,NOT
55846,-0.346638248868177,5.72824727258801,-2.27150163854336,0.0272995430550851,0.0548572502729993,-4.10157701593476,NOT
55847,0.32324756448789,8.14619311467166,2.07022758352729,0.0434330191413708,0.0802955602450201,-4.50094787993797,NOT
55848,0.227390626310199,6.68035217298033,1.37040512240005,0.176470191993708,0.254518530445922,-5.63512264969529,NOT
5585,0.164035496093943,5.99145073947697,0.977928369110453,0.332654857568828,0.426158397663074,-6.08306330542451,NOT
55850,0.415068515290874,6.65051772204071,3.24161557750554,0.00208057796617381,0.00721017732860765,-1.7860430210719,NOT
55851,0.63317504466672,7.21586757216237,3.83373065777637,0.000343544733848259,0.00200055244341615,-0.11015399936771,NOT
55852,-0.546111838746594,6.97505106078764,-4.8226597646038,1.28514135304696e-05,0.000220149038842295,3.00112271941543,NOT
55854,0.00514129959033482,9.7810886025623,0.0465334472572314,0.963064010340881,0.972576251148675,-6.55529528065478,NOT
55856,0.28507358107843,7.05448247016731,1.7594115413495,0.0844124960796212,0.138715736928822,-5.05527924161437,NOT
55857,-0.843724980561316,8.69687539928742,-5.1692278229035,3.83048227258702e-06,9.19570830171837e-05,4.15726281738442,NOT
55858,0.927309503133015,9.41070242202998,4.41712531288021,5.11853722430922e-05,0.000572748087904434,1.68662235448666,NOT
55859,-2.52486592484262,8.01554841104597,-4.48650931276591,4.05290299299434e-05,0.000490398907182535,1.90815917430255,Down
5586,0.344031833814077,8.60887386480117,2.896663928321,0.00551338727173239,0.0152800683418081,-2.67751357575512,NOT
55860,0.241507603641848,10.0008533990622,2.47564584299994,0.016607137438117,0.0366187028813372,-3.66594304760811,NOT
55862,-0.348497381537133,9.58140010182877,-2.96326323943745,0.00458948754060442,0.0132811962959348,-2.51081543331123,NOT
55863,0.342953488478951,9.27872897015941,2.17222306484386,0.0344383163079797,0.0663618850926857,-4.3024062521398,NOT
55867,-0.0566944266379825,2.5781659978164,-1.25674708830364,0.214482750812418,0.298635250261955,-5.7793792462113,NOT
